ID,Station,Latitude,Longitude
166,S+U Frankfurter Allee,52.515383,13.47428
22,S+U Friedrichstr. Bhf,52.520125,13.386598
27,S+U Gesundbrunnen Bhf,52.549316,13.389883
41,S+U Heidelberger Platz,52.480059,13.311856
58,S+U Hermannstr.,52.46769,13.431204
43,S+U Innsbrucker Platz,52.478176,13.341468
67,S+U Jannowitzbrücke,52.514193,13.419471
28,S+U Jungfernheide Bhf,52.530363,13.299325
65,S+U Karl-Bonhoeffer-Nervenklinik,52.578017,13.328994
4,S+U Lichtenberg Bhf,52.510002,13.49649
57,S+U Neukölln,52.469492,13.443156
73,S+U Pankow,52.566222,13.410354
148,S+U Potsdamer Platz Bhf,52.509605,13.376454
256,S+U Rathaus Spandau,52.535176,13.199857
137,S+U Rathaus Steglitz,52.45545,13.322332
68,S+U Schönhauser Allee,52.549274,13.415186
49,S+U Tempelhof,52.471027,13.384476
159,S+U Warschauer Str.,52.506306,13.450761
127,S+U Wedding,52.543042,13.367693
23,S+U Westhafen,52.536218,13.344329
162,S+U Wittenau,52.597097,13.334311
91,S+U Wuhletal,52.512452,13.575181
145,S+U Yorckstr.,52.491339,13.372006
135,S+U Yorckstr. (Großgörschenstr.),52.492301,13.367777
15,S+U Zoologischer Garten Bhf,52.50762,13.332927
268,U Adenauerplatz,52.499998,13.307175
240,U Afrikanische Str.,52.560199,13.334557
255,U Alt-Mariendorf,52.439865,13.387371
234,U Alt-Tegel,52.589238,13.283905
251,U Alt-Tempelhof,52.465382,13.38558
257,U Altstadt Spandau,52.538755,13.206326
305,U Amrumer Str.,52.54237,13.350099
202,U Augsburger Str.,52.500386,13.33635
215,U Bayerischer Platz,52.489145,13.340214
271,U Berliner Str.,52.487265,13.330998
296,U Bernauer Str.,52.537276,13.396665
224,U Biesdorf-Süd,52.499662,13.546365
306,U Birkenstr.,52.532192,13.341235
195,U Bismarckstr.,52.51154,13.305122
280,U Blaschkoallee,52.452075,13.44914
270,U Blissestr.,52.486328,13.32192
302,U Boddinstr.,52.480162,13.425207
235,U Borsigwerke,52.581875,13.290619
207,U Breitenbachplatz,52.467012,13.308733
282,U Britz-Süd,52.437777,13.448097
192,U Bülowstr.,52.49762,13.36317
233,U Bundestag,52.520156,13.373086
220,U Cottbusser Platz,52.533918,13.59646
209,U Dahlem-Dorf,52.457164,13.289407
194,U Deutsche Oper,52.511944,13.31051
182,U Eberswalder Str.,52.541988,13.412139
272,U Eisenacher Str.,52.489521,13.350362
223,U Elsterwerdaer Platz,52.504979,13.560296
193,U Ernst-Reuter-Platz,52.511784,13.322175
205,U Fehrbelliner Platz,52.490681,13.315228
229,U Frankfurter Tor,52.515872,13.453903
292,U Franz-Neumann-Platz,52.564603,13.363811
210,U Freie Universität (Thielplatz),52.451041,13.281602
310,U Friedrich-Wilhelm-Platz,52.472131,13.328639
226,U Friedrichsfelde,52.506252,13.512845
