ID,Station,Latitude,Longitude
104,S Raunheim,50.0098519241585,8.45491102067023
105,S Kelsterbach,50.0633997000869,8.52909459388077
106,S Frankfurt Flughafen Regionalbahnhof,50.0512016673847,8.57142312355289
107,S Frankfurt Gateway Gardens,50.0566432217445,8.59463923430883
108,U Ginnheim,50.1404396089181,8.64622226964767
109,U Niddapark,50.1437536938223,8.64219683804675
110,U Römerstadt,50.1534334070002,8.6383887535019
111,U Nordwestzentrum,50.158760753706,8.63427638512243
112,U Heddernheimer Landstraße,50.1636983369263,8.6348965615221
113,U Zeilweg,50.1645490152666,8.64248975256898
114,U Heddernheim,50.1619529838726,8.64910069383044
115,U Weißer Stein,50.1567787893767,8.65652702355233
116,U Lindenbaum,50.1525859212542,8.66149624831493
117,U Hügelstraße,50.1480594411516,8.66620109112375
118,U Fritz-Tarnow-Straße,50.1429151679732,8.66869895369848
119,U Dornbusch,50.1386406178603,8.67039300518191
120,U Miquel-/Adickesallee,50.1314621603081,8.67207858743224
121,U Holzhausenstraße,50.1267112323764,8.67383109894649
122,U Grüneburgweg,50.1216456194473,8.67558538385477
123,U Eschenheimer Tor,50.1174929652642,8.67913684459381
124,U Willy-Brandt-Platz,50.1089915523587,8.67389531398782
125,U Schweizer Platz,50.1018636164865,8.68087640741242
126,U Bad Homburg-Gonzenheim,50.2190411418684,8.64043000134711
127,U Ober-Eschbach,50.2152078725689,8.65110674420542
128,U Nieder-Eschbach,50.1992526685332,8.6704108221908
129,U Bonames Mitte,50.1852828281128,8.66443002952709
130,U Kalbach,50.1830617356647,8.65807506414129
131,U Riedwiese/Mertonviertel,50.1713741098312,8.6429848320293
132,U Sandelmühle,50.1661033951662,8.64512344904529
133,U Oberursel-Hohemark,50.2155178904005,8.5364556679504
134,U Oberursel Waldlust,50.2151955887347,8.54361816879903
135,U Oberursel Rosengärtchen,50.2151717253733,8.54902645823487
136,U Oberursel Kupferhammer,50.2144633670939,8.55652864397077
137,U Oberursel Glöcknerwiese,50.2136192430256,8.56152404012147
138,U Oberursel Lahnstraße,50.2099152766888,8.57116809191049
139,U Oberursel Altstadt,50.2060325134343,8.57882309771179
140,U Oberursel Stadtmitte,50.2026222163226,8.58549230386583
141,U Oberursel-Bommersheim,50.1930959614075,8.59408911733176
142,U Oberursel-Weißkirchen Ost,50.1859472636282,8.60145863653065
143,U Niederursel,50.1691886573118,8.62277535213349
144,U Wiesenau,50.1669720469261,8.62960901849086
146,U Bockenheimer Warte,50.1199469680635,8.65392369415885
147,U Festhalle/Messe,50.1125399964877,8.65427057530527
148,U Dom/Römer,50.1108536970268,8.68408811025014
149,U Merianplatz,50.1200266078371,8.69525597123521
150,U Höhenstraße,50.1230365234982,8.70148755617725
151,U Bornheim Mitte,50.1263435161451,8.70801179109627
152,U Seckbacher Landstraße,50.1345073227601,8.7118785536374
153,U Schäfflestraße,50.1311528856813,8.73409431763742
154,U Gwinnerstraße,50.1336591689204,8.74118568204064
155,U Kruppstraße,50.1379007272111,8.74442203437507
156,U Hessen-Center,50.1404458686989,8.74896880184644
157,U Enkheim,50.142560103884,8.75389596935156
158,U Musterschule,50.1217024506243,8.68647789994039
159,U Glauburgstraße,50.1265372109651,8.68573316691844
