5711,Zollstock Südfriedhof
5611,Zollstockgürtel
5411,Gottesweg
5311,Herthastr.
5211,Pohligstr.
2111,Eifelplatz
2211,Eifelstr.
2311,Barbarossaplatz
2411,Zülpicher Platz
2711,Rudolfplatz
3011,Friesenplatz
3211,Christophstr./Mediapark
3611,Hansaring
3511,Ebertplatz
30511,Lohsestr.
30411,Florastr.
30311,Neusser Str./Gürtel
33611,Mollwitzstr.
33711,Scheibenstr.
36211,Wilhelm-Sollmann-Str.
34211,Niehl Nord
36711,Geestemünder Str.
36811,Fordwerke Süd
36911,Fordwerke Mitte
37011,Fordwerke Nord
41611,Merkenich Mitte
41711,Merkenich
