34311,Niehl Sebastianstr.
81811,Nesselrodestr.
31711,Amsterdamer Str./Gürtel
31611,Kinderkrankenhaus
3411,Reichenspergerplatz
3511,Ebertplatz
911,Breslauer Platz/Hbf
75211,Dom/Hbf
711,Appellhofplatz
211,Neumarkt
311,Poststr.
2311,Barbarossaplatz
2211,Eifelstr.
1911,Ulrepforte
1811,Chlodwigplatz
1711,Ubierring
6511,Schönhauser Str.
7611,Bayenthalgürtel
89711,Heinrich-Lübke-Ufer
10611,Rodenkirchen Bf
10711,Siegstr.
10811,Michaelshoven
12411,Sürth Bf
13411,Godorf Bf
74211,Wesseling Nord
74111,Wesseling
74011,Wesseling Süd
74311,Urfeld
68011,Widdig
67911,Uedorf
67811,Hersel
