70211,Weiden West
24111,Weiden Römergrab
26111,Weiden Zentrum
83011,Bahnstr.
14211,Mohnweg
20011,Junkersdorf
18711,RheinEnergieSTADION
18611,Alter Militärring
18111,Eupener Str.
18011,Clarenbachstift
17911,Maarweg
17811,Aachener Str./Gürtel
14411,Melaten
14311,Universitätsstr.
2811,Moltkestr.
2711,Rudolfplatz
211,Neumarkt
111,Heumarkt
3911,Deutzer Freiheit
80211,Bf Deutz/Messe
4411,Deutz Technische Hochschule
51211,Kalk Post
51311,Kalk Kapelle
51711,Fuldaer Str.
51811,Sportpark Höhenberg
53911,Kalker Friedhof
54011,Merheim
54611,Flehbachstr.
54711,Brück Mauspfad
66811,Lustheide
66911,Refrath
67011,Kippekausen
67111,Frankenforst
66711,Neuenweg
66611,Kölner Str.
65511,Im Hoppenkamp
66511,Bensberg
