Haltestelle;Name;Kurzname;Haltestellenbereich;XKoordinate;YKoordinate;Betriebsbereich;Linien
2015;Bonner Wall;ABW;20;6.96115;50.916;STRAB;17
2016;Bonner Wall;ABW;20;6.96095;50.91636;STRAB;17
2021;Bonner Wall;ABW;20;6.96083;50.9171;BUS;106 132 133 142
2022;Bonner Wall;ABW;20;6.96076;50.91699;BUS;106 132 133 142
2111;Eifelplatz;EIF;21;6.94389;50.92357;STRAB;12
2112;Eifelplatz;EIF;21;6.94332;50.92316;STRAB;12
2211;Eifelstr.;EFS;22;6.94545;50.92684;STRAB;12 15 16
2212;Eifelstr.;EFS;22;6.94618;50.92645;STRAB;12 15 16
2311;Barbarossaplatz;BAB;23;6.94341;50.92914;STRAB;16 18
2312;Barbarossaplatz;BAB;23;6.94292;50.92881;STRAB;16 18
2313;Barbarossaplatz;BAB;23;6.94191;50.92916;STRAB;12 15
2314;Barbarossaplatz;BAB;23;6.94235;50.92881;STRAB;12 15
2331;Barbarossaplatz;BAB;23;6.94356;50.92906;BUS;
2332;Barbarossaplatz;BAB;23;6.94357;50.92907;BUS;
2411;Zülpicher Platz;ZPL;24;6.9405;50.93175;STRAB;12 15
2412;Zülpicher Platz;ZPL;24;6.94064;50.93132;STRAB;12 15
2413;Zülpicher Platz;ZPL;24;6.94039;50.93091;STRAB;9
2414;Zülpicher Platz;ZPL;24;6.9411;50.93137;STRAB;9
2433;Zülpicher Platz;ZPL;24;6.94033;50.93095;BUS;
2434;Zülpicher Platz;ZPL;24;6.94129;50.93141;BUS;
2435;Zülpicher Platz;ZPL;24;6.9386;50.93074;BUS;
2521;Bf Süd;SBH;25;6.93771;50.92675;BUS;142
2611;Eifelwall/Stadtarchiv;EFW;26;6.93718;50.92487;STRAB;18
2612;Eifelwall/Stadtarchiv;EFW;26;6.93656;50.9244;STRAB;18
2621;Eifelwall/Stadtarchiv;EFW;26;6.93706;50.92533;BUS;142
2622;Eifelwall/Stadtarchiv;EFW;26;6.93676;50.92488;BUS;142
2631;Eifelwall/Stadtarchiv;EFW;26;6.9371;50.92462;BUS;
2632;Eifelwall/Stadtarchiv;EFW;26;6.9371;50.92462;BUS;
2711;Rudolfplatz;RDP;27;6.94048;50.93586;STRAB;1 7
2712;Rudolfplatz;RDP;27;6.93959;50.93624;STRAB;1 7
2713;Rudolfplatz;RDP;27;6.93909;50.93665;STRAB;12 15
2714;Rudolfplatz;RDP;27;6.93899;50.93606;STRAB;12 15
2716;Rudolfplatz;RDP;27;6.9404;50.93614;STRAB;
