ID,Station,Latitude,Longitude
53311,Ostheim,50.92916,7.0424
53411,Autobahn,50.92704,7.05427
53911,Kalker Friedhof,50.94277,7.0431
54011,Merheim,50.94393,7.04767
54611,Flehbachstr.,50.94783,7.07361
54711,Brück Mauspfad,50.94884,7.0786
55311,Steinweg,50.9237,7.06657
55411,Porzer Str.,50.9217,7.07477
55511,Röttgensweg,50.92029,7.09024
55611,Rath/Heumar,50.92045,7.08067
55711,Königsforst,50.91984,7.09644
56711,Stegerwaldsiedlung,50.94859,6.9934
56811,Grünstr.,50.95589,7.00053
56911,Buchforst Waldecker Str.,50.95096,7.0048
57011,Mülheim Wiener Platz,50.96152,7.00517
57211,Bf Mülheim,50.95693,7.01286
57711,Buchheim Frankfurter Str.,50.95339,7.01502
57811,Buchheim Herler Str.,50.95808,7.02535
57911,Wichheimer Str.,50.96127,7.031
58311,Holweide Vischeringstr.,50.96692,7.03916
58411,Maria-Himmelfahrt-Str.,50.96787,7.04494
58511,Neufelder Str.,50.96945,7.05517
59411,Dellbrück Mauspfad,50.97179,7.06457
59511,Dellbrück Hauptstr.,50.97461,7.07458
59611,Thielenbruch,50.97808,7.08598
60611,Im Weidenbruch,50.98078,7.02286
60711,Am Emberg,50.98948,7.03032
60811,Leuchterstr.,50.99607,7.0374
60911,Odenthaler Str.,51.00096,7.04191
62811,Bornheim Rathaus,50.75729,7.00195
63111,Keupstr.,50.96629,7.00687
63211,Von-Sparr-Str.,50.97058,7.01154
63311,Mülheim Berliner Str.,50.97496,7.01481
65511,Im Hoppenkamp,50.9632,7.15658
66311,Schlebusch,51.01877,7.04455
66511,Bensberg,50.96347,7.16196
66611,Kölner Str.,50.96267,7.14931
66711,Neuenweg,50.96325,7.14249
66811,Lustheide,50.95197,7.1052
66911,Refrath,50.95397,7.11665
67011,Kippekausen,50.95663,7.12959
67111,Frankenforst,50.96076,7.13673
67211,Roisdorf West,50.75391,7.00797
67311,Bornheim,50.76131,6.98935
67411,Dersdorf,50.76478,6.96913
67511,Waldorf,50.76826,6.95082
67611,Merten,50.7799,6.93321
67711,Walberberg,50.79443,6.92076
67811,Hersel,50.7702,7.04268
67911,Uedorf,50.7823,7.03105
68011,Widdig,50.79191,7.02194
68111,Alfter / Alanus Hochschule,50.7439,7.01669
70211,Weiden West,50.94016,6.81605
70811,Frechen-Benzelrath,50.90436,6.79765
70911,Mühlengasse,50.90815,6.80176
71011,Frechen Rathaus,50.90945,6.80631
71111,Frechen Kirche,50.9101,6.81615
71211,Frechen Bf,50.91147,6.82243
71311,Haus Vorst,50.91574,6.84892
73011,Efferen,50.89464,6.90426
73111,Fischenich,50.86495,6.89758
73211,Kiebitzweg,50.88861,6.89772
73311,Hürth-Hermülheim,50.88054,6.89473
73411,Brühl Nord,50.83511,6.9018
73511,Brühl Mitte,50.82939,6.89918
73611,Brühl Süd,50.82251,6.89843
73711,Badorf,50.81373,6.9002
73811,Brühl Vochem,50.84428,6.9012
73911,Schwadorf,50.80135,6.91366
74011,Wesseling Süd,50.81224,6.99931
74111,Wesseling,50.82303,6.97927
74211,Wesseling Nord,50.83206,6.97092
74311,Urfeld,50.80366,7.01069
75211,Dom/Hbf,50.94182,6.95763
80211,Bf Deutz/Messe,50.93963,6.97841
81811,Nesselrodestr.,50.97732,6.96889
83011,Bahnstr.,50.9381,6.84563
86511,Dasselstr./Bf Süd,50.92842,6.93609
86711,Hans-Böckler-Platz/Bf West,50.9432,6.93366
89411,Kartäuserhof,50.92518,6.95856
89711,Heinrich-Lübke-Ufer,50.89996,6.98483
90311,Sparkasse Am Butzweilerhof,50.98459,6.88866
94011,Görlinger-Zentrum,50.98058,6.87009
97611,IKEA Am Butzweilerhof,50.98178,6.89459
